agent,release_date,coefficient,intercept,bce_loss,average_success,beta_p50,beta_p50_low,beta_p50_high,task_count,plot
Qwen 3 Coder 30B Instruct,2025-07-31,-0.9202280713693283,0.18004857183235976,0.32929256975779386,0.4938731189039295,0.1956564654286647,-0.0355125595339911,0.4561159530092271,500,True
Minimax M2,2025-10-23,-0.7160399692443737,0.8395493123567286,0.3951582807880005,0.5937187300401445,1.1724894536860735,0.8220850585663273,1.5683264056183543,499,True
Gemini 3 Pro (preview),2025-11-18,-0.8676403212392609,2.201403627762661,0.24339574925217214,0.7360128772913541,2.537230663298785,2.1585364224621726,2.914576108987907,500,True
Claude 4 Opus,,-0.9370513149513283,1.4599499522379575,0.26294521430023565,0.6502060759223519,1.5580256160398103,1.2360062819951432,1.8508603961994448,500,True
Claude 4 Sonnet,,-0.9880818608845374,2.2896538351343994,0.1945690080943508,0.7249620566052194,2.317271398024336,2.030665219103755,2.636986505113509,500,True
Claude 4.5 Opus medium (20251101),,-0.8564312150335831,1.8943042625162791,0.26753623081065947,0.7069529018760655,2.211858032804185,1.9170859455045135,2.5479764569212477,500,True
Claude 4.5 Sonnet,,-0.8198977810102928,1.5148225650898273,0.30726536224603546,0.6703333667974125,1.847574905280553,1.4750226413113563,2.2051880775256114,500,True
Deepseek v3.2 reasoner,,-0.7452305536648407,0.6521619739381289,0.39182834018430657,0.5650039381701468,0.8751143800143112,0.5678433017333386,1.209733631875762,500,True
EntroPO-EKTO-30B,,-0.8552023752004861,0.41667171192087077,0.3513873081102706,0.5269398023609463,0.4872200124832323,0.21886552889466768,0.819713772692031,500,True
FrogBoss 32B,,-0.8231595962475655,0.26472755121902963,0.37055386984258426,0.5062694434340766,0.3215993015519833,-0.009388311413964475,0.668466023722678,500,True
gemini-2.5-pro,,-0.8423446100019293,0.3654929740480439,0.35888029777099134,0.5201671268377691,0.4338995818435958,0.13789842062398544,0.7345346015277769,500,True
GLM 4.5,,-0.8955282035243355,1.0616521577263143,0.3034693246484769,0.608354205010146,1.1855038775419924,0.8713645735103916,1.5170051060348906,500,True
GLM 4.6,,-0.8853877323327871,1.5454824121822486,0.27867386262645377,0.6654553921053139,1.7455430606772337,1.421378292399661,2.082064004702698,500,True
gpt-3,,-0.5260577170530212,-4.302335189249925,0.06442645904269796,0.026227893540653042,-8.17844705967177,-9.850974486570783,-7.107344811483989,152,True
GPT 4o (2024-05-13),,-0.9375796151374092,-0.8911723764471781,0.3168816711707636,0.348269278816203,-0.9505031488089363,-1.2491808152346175,-0.6769853058092703,670,True
GPT 5,,-0.7897769181516066,1.975793389029913,0.2868728885304132,0.7266192897593791,2.5017107282067177,2.1382418933534635,2.8209366906989337,500,True
GPT 5 Mini,,-0.9373129773201923,0.906659336854304,0.2938023501465442,0.5865845922391989,0.9672962594057665,0.6831444615067012,1.2141729995873531,500,True
GPT 5 Nano,,-0.7400046454070994,-0.7932297629530901,0.39710658723330977,0.3450586648355645,-1.0719253830044673,-1.4971676410335553,-0.7690438011566219,500,True
Kimi K2,,-0.9473331470754878,1.7774327529819405,0.239753062679717,0.6822763359118834,1.876248876616482,1.5323334476708819,2.1653727291244307,500,True
o3,,-0.7819390052865883,0.41173318181074403,0.38483147143008867,0.5283722100169999,0.5265540905710923,0.21429609034851724,0.8280653041225806,500,True
o3 mini,,-0.7144475853681588,-0.49827662194654043,0.41932081104818747,0.38817226468154176,-0.6974292196533575,-1.035438494202406,-0.3203102541439411,500,True
o4 mini,,-0.8623262565772917,1.1553900826924455,0.31227584066586805,0.6226520520968798,1.3398526066901524,1.0610541805132476,1.6291538251190776,500,True
